commodity_id,commodity,market_id,market,admin1,admin2,date,price,monthly_change_pct,absolute_change_pct,log_price,log_change,lag_change_1,rolling_volatility_3m,mean_absolute_change_3m,month_of_year,target_month,next_absolute_change_pct,next_large_change,has_sufficient_history,is_inference_only,spike_flag,month_inserted,split
108,Lentils,360,Ampara,Eastern,Ampara,2023-06-01,287.35,NA,NA,5.660700984953751,NA,NA,NA,NA,6,6,1.3119888637550159,FALSE,TRUE,FALSE,FALSE,FALSE,train
108,Lentils,360,Ampara,Eastern,Ampara,2023-07-01,283.58,-1.3119888637550159,1.3119888637550159,5.647494270309412,-0.013206714644338646,NA,NA,NA,7,7,4.224557444107489,FALSE,TRUE,FALSE,FALSE,FALSE,train
108,Lentils,360,Ampara,Eastern,Ampara,2023-08-01,295.56,4.224557444107489,4.224557444107489,5.688871861920447,0.0413775916110346,-1.3119888637550159,3.91492943864292,2.7682731539312524,8,8,7.389362565976442,FALSE,TRUE,FALSE,FALSE,FALSE,train
108,Lentils,360,Ampara,Eastern,Ampara,2023-09-01,317.4,7.389362565976442,7.389362565976442,5.760162808092309,0.07129094617186205,4.224557444107489,4.404218681790668,4.308636291279649,9,9,4.06427221172022,FALSE,TRUE,FALSE,FALSE,FALSE,train
108,Lentils,360,Ampara,Eastern,Ampara,2023-10-01,304.5,-4.06427221172022,4.06427221172022,5.718671087149952,-0.04149172094235709,7.389362565976442,5.914761732924375,5.226064073934717,10,10,0.7454844006568084,FALSE,TRUE,FALSE,FALSE,FALSE,train
108,Lentils,360,Ampara,Eastern,Ampara,2023-11-01,306.77,0.7454844006568084,0.7454844006568084,5.726098281139616,0.0074271939896641825,-4.06427221172022,5.7512408134647774,4.0663730594511565,11,11,2.1384098836261702,FALSE,TRUE,FALSE,FALSE,FALSE,train
108,Lentils,360,Ampara,Eastern,Ampara,2023-12-01,313.33,2.1384098836261702,2.1384098836261702,5.74725694824148,0.021158667101864204,0.7454844006568084,3.2544140600969595,2.316055498667733,12,12,0.2648964350684531,FALSE,TRUE,FALSE,FALSE,FALSE,train
108,Lentils,360,Ampara,Eastern,Ampara,2024-01-01,312.5,-0.2648964350684531,0.2648964350684531,5.744604469176457,-0.0026524790650235275,2.1384098836261702,1.20671676432264,1.0495969064504773,1,1,0.3007999999999993,FALSE,TRUE,FALSE,FALSE,FALSE,train
108,Lentils,360,Ampara,Eastern,Ampara,2024-02-01,311.56,-0.3007999999999993,0.3007999999999993,5.741591936051748,-0.0030125331247088383,-0.2648964350684531,1.398029278653341,0.9013687728982076,2,2,2.006034150725382,FALSE,TRUE,FALSE,FALSE,FALSE,train
108,Lentils,360,Ampara,Eastern,Ampara,2024-03-01,305.31,-2.006034150725382,2.006034150725382,5.72132765387195,-0.02026428217979781,-0.3007999999999993,0.9950438114021194,0.8572435285979448,3,3,3.566866463594375,FALSE,TRUE,FALSE,FALSE,FALSE,train
